"actor_id","emissions_id","year","total_emissions","datasource_id"
"PT OPO","CDPCitiesTargets:2021:base:PT OPO",2004,1304,"CDPCitiesTargets:2021"
"PT OPO","CDPCitiesTargets:2021:target:PT OPO",2050,0,"CDPCitiesTargets:2021"
"PT STA","CDPCitiesTargets:2021:base:PT STA",2008,1055513,"CDPCitiesTargets:2021"
"PT STA","CDPCitiesTargets:2021:target:PT STA",2030,625919.209,"CDPCitiesTargets:2021"
"FR URO","CDPCitiesTargets:2021:base:FR URO",2005,585826,"CDPCitiesTargets:2021"
"FR URO","CDPCitiesTargets:2021:target:FR URO",2050,93732.16,"CDPCitiesTargets:2021"
"PE SDR","CDPCitiesTargets:2021:base:PE SDR",2017,2040,"CDPCitiesTargets:2021"
"PE SDR","CDPCitiesTargets:2021:target:PE SDR",2050,20.4,"CDPCitiesTargets:2021"
"GH ACC","CDPCitiesTargets:2021:base:GH ACC",2015,2405522,"CDPCitiesTargets:2021"
"GH ACC","CDPCitiesTargets:2021:BAU:GH ACC",2030,4350472,"CDPCitiesTargets:2021"
"SG SIN","CDPCitiesTargets:2021:base:SG SIN",2030,65,"CDPCitiesTargets:2021"
"SG SIN","CDPCitiesTargets:2021:target:SG SIN",2050,32.5,"CDPCitiesTargets:2021"
"KR USN","CDPCitiesTargets:2021:base:KR USN",2017,7166000,"CDPCitiesTargets:2021"
"KR USN","CDPCitiesTargets:2021:BAU:KR USN",2030,7691000,"CDPCitiesTargets:2021"
"AR RES","CDPCitiesTargets:2021:base:AR RES",2018,923868.22,"CDPCitiesTargets:2021"
"AR RES","CDPCitiesTargets:2021:BAU:AR RES",2030,1150448.57,"CDPCitiesTargets:2021"
"PH QZT","CDPCitiesTargets:2021:base:PH QZT",2016,8014366,"CDPCitiesTargets:2021"
"PH QZT","CDPCitiesTargets:2021:BAU:PH QZT",2030,13656950,"CDPCitiesTargets:2021"
"JP HDA","CDPCitiesTargets:2021:base:JP HDA",2019,1167000,"CDPCitiesTargets:2021"
